Arram,,Hull,Scarborough Group
Arrochar & Tar,,Glasgow Group
Arundel,,Ford Group,Horsham
ASCOT (BERKS),Routeing Point
Ascott-U-Wych,,Oxford,Worcester Group
Ash,,Ash Vale,Farnborough Group,Guildford
ASH VALE,Routeing Point
Ashburys,,Guide Bridge,Manchester Group
Ashchurch,,Barnt Green,Cheltenham Spa,Worcester Group
ASHFIELD,Glasgow Group Routeing Point Member
Ashford (Middx),,Feltham,Staines
ASHFORD INTL,Routeing Point
Ashley,,Chester,Stockport
Ashtead,,Dorking Group,Epsom,Guildford,Surbiton
Ashton Undr Lyne,,Manchester Group,Stalybridge
Ashurst Kent,,Croydon Group
Ashurst N Forest,,Southampton Group,Weymouth Group
Ashwell & Morden,,Cambridge,Hitchin
Askam,,Carlisle,Lancaster Group
Aslockton,,Grantham,Nottingham Group,Sleaford
Aspatria,,Carlisle,Lancaster Group
Aspley Guise,,Bedford,Bletchley Group
ASTON,Birmingham Group Routeing Point Member
Atherstone Warks,,Nuneaton,Tamworth
Atherton Manchr,,Bolton,Manchester Group,Wigan Group
Attadale,,Inverness
ATTENBOROUGH,Nottingham Group Routeing Point Member
Attleborough,,Ely,Norwich,Peterborough
Auchinleck,,Carlisle,Kilmarnock
Audley End,,Cambridge,Stansted Group
Aughton Park,,Liverpool Group,Preston Lancs,Wigan Group
Aviemore,,Inverness,Perth
Avoncliff,,Bath Spa,Westbury Group
Avonmouth,,Bristol Group
Axminster,,Exeter Group,Salisbury
Aylesbury,,Banbury Group,Greenford Und,London Group,Oxford
Aylesbury Parkway,,Banbury Group,Greenford Und,London Group,Oxford
Aylesford,,Chatham Group,Maidstone Group
Aylesham,,Ashford Intl,Dover Priory,Faversham,Ramsgate Group
Ayr,,Kilmarnock,Paisley Gil St
Bache,,Chester,Hooton
Baglan,,Bridgend,Swansea Group
Bagshot,,Ascot (Berks),Ash Vale
Baildon,,Bradford Group,Hellifield Group,Leeds Group
Baillieston,,Falkirk Group,Glasgow Group,Motherwell Group
Balcombe,,Brighton Group,Lewes,Three Bridges
Baldock,,Cambridge,Hitchin
Balham,,Clapham Junction,Mitcham Junction,Streatham Group
Balloch Central,,Glasgow Group
Balmossie,,Aberdeen,Dundee
Bamber Bridge,,Blackburn,Bolton,Preston Lancs
Bamford,,Chinley,Sheffield Group
Banavie,,Glasgow Group
BANBURY,Banbury Group Routeing Point Member
Bangor (Gwynedd),,Shotton
Bank Hall,,Liverpool Group,Preston Lancs
Banstead,,Sutton London
Barassie,,Kilmarnock,Paisley Gil St
Barbican Und,,Highbury & I Und,London Group
Bardon Mill,,Carlisle,Newcastle
BARE LANE,Lancaster Group Routeing Point Member
Bargeddie,,Falkirk Group,Glasgow Group,Motherwell Group
Bargoed,,Cardiff Central
BARKING,Routeing Point
Barlaston,,Rugeley Trnt Val,Stafford Group,Stoke On Trent
Barming,,Maidstone Group,Sevenoaks,Swanley
Barmouth,,Machynlleth Group
Barnehurst,,Charlton,Dartford,Lewisham,Slade Green
BARNES,Routeing Point
Barnes Bridge,,Barnes,Hounslow
BARNETBY,Routeing Point
Barnham,,Ford Group,Havant
Barnhill,,Glasgow Group
BARNSLEY,Routeing Point
Barnstaple,,Exeter Group
BARNT GREEN,Routeing Point
Barrhead,,Glasgow Group,Kilmarnock
Barrhill,,Kilmarnock,Paisley Gil St
Barrow Haven,,Barnetby
Barrow In Furnss,,Carlisle,Lancaster Group
BARROW UPON SOAR,Loughborough Group Routeing Point Member
Barry,,Bridgend,Cardiff Central
Barry Docks,,Bridgend,Cardiff Central
Barry Island,,Bridgend,Cardiff Central
Barry Links,,Aberdeen,Dundee
Barton On Humber,,Barnetby
Basildon,,Barking,Romford Group,Southend Group
BASINGSTOKE,Routeing Point
Bat & Ball,,Maidstone Group,Sevenoaks,Swanley
BATH SPA,Routeing Point
Bathgate,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Batley,,Huddersfield Group,Leeds Group
Battersby,,Middlesbrough Group
Battersea Park,,Clapham Junction,Denmark Hill,London Group
Battle,,Hastings Group,Tonbridge
Battlesbridge,,Shenfield,Southend Group
Bayford,,Finsbury Park,Stevenage
Beaconsfield,,Banbury Group,Greenford Und,London Group,Oxford
Bearley,,Stratford U Group,Tyseley,Warwick Group
Bearsden,,Glasgow Group
Bearsted,,Ashford Intl,Maidstone Group
Beasdale,,Glasgow Group
Beaulieu Road,,Southampton Group,Weymouth Group
Beauly,,Inverness
Bebington,,Hooton,Liverpool Group
Beccles,,Ipswich,Norwich
Beckenham Hill,,Bromley South Group,Lewisham,Peckham Rye Group
BECKENHAM JN,Routeing Point
BEDFORD,Routeing Point
Bedford St Johns,,Bedford,Bletchley Group
BEDHAMPTON,Portsmouth Group Routeing Point Member
Bedminster,,Bristol Group,Taunton
Bedworth,,Coventry,Nuneaton
Bedwyn,,Reading Group,Westbury Group
BEESTON,Nottingham Group Routeing Point Member
Bekesbourne,,Ashford Intl,Dover Priory,Faversham,Ramsgate Group
Belle Vue,,Chinley,Guide Bridge,Manchester Group
Bellgrove,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Bellingham Ldn,,Bromley South Group,Lewisham,Peckham Rye Group
Bellshill,,Motherwell Group,Newton Lanark
Belmont,,Sutton London
BELPER,Derby Group Routeing Point Member
Beltring,,Ashford Intl,Maidstone Group,Tonbridge
Belvedere,,Charlton,Slade Green
Bempton,,Hull,Scarborough Group
Ben Rhydding,,Bradford Group,Hellifield Group,Leeds Group
Benfleet,,Barking,Romford Group,Southend Group
Bentham,,Hellifield Group,Lancaster Group
Bentley (Hants),,Ash Vale,Farnborough Group,Guildford
Bentley S Yorks,,Doncaster,Pontefract Group,Swinton  S Yorks,Wakefield Group
Bere Alston,,Plymouth Group
Bere Ferrers,,Plymouth Group
Berkhamsted,,Bletchley Group,Watford Junction
Berkswell,,Birmingham Group,Coventry
Berney Arms,,Ipswich,Norwich
Berry Brow,,Barnsley,Huddersfield Group
Berrylands,,Epsom,Kingston,Surbiton,Wimbledon
Berwick (Sussex),,Hastings Group,Lewes
Berwick On Tweed,,Edinburgh Group,Newcastle
Bescar Lane,,Liverpool Group,Preston Lancs,Wigan Group
BESCOT STADIUM,Walsall Group Routeing Point Member
Betchworth,,Dorking Group,Redhill Group
BETHNAL GREEN,London Group Routeing Point Member
Betws Y Coed,,Shotton
Beverley,,Hull,Scarborough Group
Bexhill,,Hastings Group,Lewes
Bexley,,Dartford,Hither Green,Slade Green
Bexleyheath,,Charlton,Dartford,Lewisham,Slade Green
Bicester North,,Banbury Group,Greenford Und,London Group,Oxford
Bicester Town,,Banbury Group,Greenford Und,London Group,Oxford
BICKLEY,Bromley South Group Routeing Point Member
Bidston,,Liverpool Group,Shotton
Biggleswade,,Hitchin,Peterborough
Bilbrook,,Shrewsbury,Wolverhampton
Billericay,,Shenfield,Southend Group
Billingham Cleve,,Middlesbrough Group,Newcastle
Billingshurst,,Ford Group,Horsham
Bingham,,Grantham,Nottingham Group,Sleaford
Bingley,,Bradford Group,Hellifield Group,Leeds Group
Birchgrove,,Cardiff Central
Birchington,,Faversham,Ramsgate Group
Birchwood,,Manchester Group,Warrington Group
Birkbeck,,Beckenham Jn,Crystal Palace
Birkdale,,Liverpool Group,Preston Lancs,Wigan Group
Birkenhead Ctl,,Hooton,Liverpool Group
BIRKENHEAD H SQ,Liverpool Group Routeing Point Member
Birkenhead North,,Liverpool Group,Shotton
Birkenhead Park,,Liverpool Group,Shotton
Birmingham Intl,,Birmingham Group,Coventry
BIRMINGHAM M ST,Birmingham Group Routeing Point Member
BIRMINGHAM N ST,Birmingham Group Routeing Point Member
BIRMINGHAM SN HL,Birmingham Group Routeing Point Member
Bishop Auckland,,Darlington
Bishopbriggs,,Falkirk Group,Glasgow Group,Stirling
Bishops Strtford,,Stansted Group,Tottenham Hale Group
Bishopstone Ssex,,Lewes
Bishopton Sclyde,,Paisley Gil St
Bitterne,,Portsmouth Group,Southampton Group
BLACKBURN,Routeing Point
Blackheath,,Charlton,Dartford,Lewisham,Slade Green
BLACKHORSE R UND,Walthamstow Group Routeing Point Member
Blackpool North,,Preston Lancs
Blackpool P Bch,,Preston Lancs
Blackpool South,,Preston Lancs
Blackridge,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Blackrod,,Blackburn,Bolton,Preston Lancs
BLACKWATER,Farnborough Group Routeing Point Member
Blaenau Ffest,,Shotton
Blair Atholl,,Inverness,Perth
Blairhill,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Blake Street,,Birmingham Group,Lichfield T V
Blakedown,,Smethwick Group,Worcester Group
Blantyre,,Motherwell Group,Newton Lanark
Blaydon,,Carlisle,Newcastle
Bleasby,,Newark Group,Nottingham Group
BLETCHLEY,Bletchley Group Routeing Point Member
Bloxwich,,Rugeley Trnt Val,Walsall Group
Bloxwich North,,Rugeley Trnt Val,Walsall Group
Blundellsands,,Liverpool Group,Preston Lancs,Wigan Group
Blythe Bridge,,Derby Group,Stoke On Trent
Bodmin Parkway,,Plymouth Group
Bodorgan,,Shotton
Bognor Regis,,Ford Group,Havant
Bogston,,Paisley Gil St
BOLTON,Routeing Point
Bolton On Dearne,,Doncaster,Pontefract Group,Swinton  S Yorks,Wakefield Group
Bookham,,Dorking Group,Epsom,Guildford,Surbiton
Bootle (Cumbria),,Carlisle,Lancaster Group
Bootle N Strand,,Liverpool Group,Preston Lancs,Wigan Group
Bootle Oriel Rd,,Liverpool Group,Preston Lancs,Wigan Group
Bordesley,,Birmingham Group,Tyseley
Boro Green & Wrm,,Maidstone Group,Sevenoaks,Swanley
Borth,,Machynlleth Group
Bosham,,Ford Group,Havant
Boston,,Sleaford
Botley,,Eastleigh,Portsmouth Group
Bottesford,,Grantham,Nottingham Group,Sleaford
Bourne End,,Reading Group,Slough
Bournemouth,,Southampton Group,Weymouth Group
Bournville,,Barnt Green,Birmingham Group
Bow Brickhill,,Bedford,Bletchley Group
Bowes Park,,Finsbury Park,Stevenage
Bowling,,Glasgow Group
Boxhill & Whmble,,Dorking Group,Epsom,Guildford,Surbiton
Bracknell,,Ascot (Berks),Wokingham
BRADFORD F SQ,Bradford Group Routeing Point Member
BRADFORD INTERCH,Bradford Group Routeing Point Member
Bradford On Avon,,Bath Spa,Westbury Group
Brading,,Portsmouth Group
Braintree,,Witham
Braintree Freeport,,Witham
Bramhall,,Crewe,Stockport,Stoke On Trent,Wilmslow Group
Bramley (Hants),,Basingstoke,Reading Group
Bramley W Yorks,,Bradford Group,Leeds Group
Brampton Cumbria,,Carlisle,Newcastle
Brampton Suffolk,,Ipswich,Norwich
Branchton,,Paisley Gil St
Brandon,,Ely,Norwich,Peterborough
Branksome,,Southampton Group,Weymouth Group
Braystones Cumbr,,Carlisle,Lancaster Group
Bredbury,,Chinley,Guide Bridge,Manchester Group
Breich,,Edinburgh Group,Motherwell Group
Brentford,,Barnes,Hounslow
Brentwood,,Romford Group,Shenfield
Bricket Wood,,Bedford,Watford Junction,West Hampstead Group
Bridge Of Allan,,Perth,Stirling
Bridge Of Orchy,,Glasgow Group
BRIDGEND,Routeing Point
Bridgeton,,Glasgow Group,Newton Lanark
Bridgwater,,Bristol Group,Taunton
Bridlington,,Hull,Scarborough Group
Brierfield,,Blackburn,Halifax Group,Manchester Group
Brigg,,Barnetby,Doncaster,Lincoln,Retford
Brighouse,,Halifax Group,Huddersfield Group
BRIGHTON,Brighton Group Routeing Point Member
Brimsdown,,Stansted Group,Tottenham Hale Group
Brinnington,,Chinley,Guide Bridge,Manchester Group
BRISTOL PARKWAY,Bristol Group Routeing Point Member
BRISTOL TEMPLE M,Bristol Group Routeing Point Member
Brithdir,,Cardiff Central
Briton Ferry,,Bridgend,Swansea Group
Brixton,,Herne Hill,London Group
Broad Green,,Huyton,Liverpool Group
Broadbottom,,Guide Bridge
Broadstairs,,Faversham,Ramsgate Group
Brockenhurst,,Southampton Group,Weymouth Group
Brockholes,,Barnsley,Huddersfield Group
Brockley,,Croydon Group,Crystal Palace,New Cross Gate
Brockley Whins,,Middlesbrough Group,Newcastle
Bromborough,,Hooton,Liverpool Group
Bromborough Rake,,Hooton,Liverpool Group
Bromley Cross,,Blackburn,Bolton
Bromley North,,Grove Park
BROMLEY SOUTH,Bromley South Group Routeing Point Member
Bromsgrove,,Barnt Green,Cheltenham Spa,Worcester Group
Brondesbury,,West Hampstead Group,Willesden Jn
Brondesbury Park,,West Hampstead Group,Willesden Jn
Brookmans Pk,,Finsbury Park,Stevenage
Brookwood,,Ash Vale,Farnborough Group,Woking
Broome,,Craven Arms,Swansea Group
Broomfleet,,Goole,Hull,Selby
Brora,,Inverness
Brough,,Goole,Hull,Selby
Broughty Ferry,,Aberdeen,Dundee
Broxbourne,,Stansted Group,Tottenham Hale Group
Bruce Grove,,Stansted Group,Tottenham Hale Group
Brundall,,Ipswich,Norwich
Brundall Gardens,,Ipswich,Norwich
Brunstane,,Edinburgh Group,Newcastle
Brunswick,,Hunts Cross Group,Liverpool Group
Bruton,,Castle Cary,Westbury Group
Bryn,,Huyton,Wigan Group
Buckenham Norflk,Ipswich,Norwich
Buckley,Shotton,Wrexham Group
Bucknell,Craven Arms,Swansea Group
Bugle,Plymouth Group
Builth Road,Craven Arms,Swansea Group
Bulwell,Nottingham Group,Worksop
Bures,Marks Tey
Burgess Hill,Brighton Group,Lewes,Three Bridges
Burley In Wdale,Bradford Group,Hellifield Group,Leeds Group
Burley Park,Leeds Group,York
Burnage,Manchester Group,Wilmslow Group
Burneside Cumbr,Carlisle,Lancaster Group
Burnham Bucks,Reading Group,Slough
Burnham On C,Shenfield,Southend Group
Burnley Barracks,Blackburn,Halifax Group,Manchester Group
Burnley Central,Blackburn,Halifax Group,Manchester Group
Burnley Mancr Rd,Blackburn,Halifax Group,Manchester Group
Burnside Sclyde,Glasgow Group,Newton Lanark
Burntisland,Inverkeithing Group,Kirkcaldy Group
Burscough Bridge,Liverpool Group,Preston Lancs,Wigan Group
Burscough Jn,Liverpool Group,Preston Lancs,Wigan Group
Bursledon,Portsmouth Group,Southampton Group
Burton Joyce,Newark Group,Nottingham Group
Burton On Trent,Derby Group,Lichfield T V,Nottingham Group,Tamworth
Bury St Edmunds,Cambridge,Ely,Stowmarket
Busby,Glasgow Group,Kilmarnock
Bush Hill Park,Stansted Group,Tottenham Hale Group
Bushey,Watford Junction,Willesden Jn
Butlers Lane,Birmingham Group,Lichfield T V
Buxted,Croydon Group
Buxton,Chinley,Guide Bridge,Hazel Grove,Manchester Group
Byfleet & New H,Ascot (Berks),Staines,Surbiton,Woking
Bynea,Craven Arms,Swansea Group
Cadoxton,Bridgend,Cardiff Central
Caergwrle,Shotton,Wrexham Group
Caerphilly,Cardiff Central
Caersws,Machynlleth Group,Shrewsbury
Caldercruix,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Caldicot,,Bristol Group,Gloucester,Newport (S.Wales)
Caledonian Road,,Highbury & I Und,Tottenham Hale Group,West Hampstead Group
Calstock,,Plymouth Group
Cam & Dursley,,Bristol Group,Cheltenham Spa,Gloucester
Camberley,,Ascot (Berks),Ash Vale
Camborne,,Plymouth Group
CAMBRIDGE,Routeing Point
Cambridge Heath,,Hackney Group,London Group
Cambuslang,,Glasgow Group,Newton Lanark
Camden Road,,Highbury & I Und,Tottenham Hale Group,West Hampstead Group
CAMELON,Falkirk Group Routeing Point Member
Canada Water,,London Group,New Cross,New Cross Gate
Canley,,Birmingham Group,Coventry
Cannock,,Rugeley Trnt Val,Walsall Group
Canonbury,,Hackney Group,Highbury & I Und
Canterbury East,,Ashford Intl,Dover Priory,Faversham,Ramsgate Group
Canterbury West,,Ashford Intl,Ramsgate Group
Cantley,,Ipswich,Norwich
Capenhurst,,Chester,Hooton
Carbis Bay,,Plymouth Group
Cardenden,,Inverkeithing Group,Kirkcaldy Group
Cardiff Bay,,Cardiff Central
CARDIFF CENTRAL,Routeing Point
Cardiff Queen St,,Cardiff Central,Pontypridd
Cardonald,,Glasgow Group,Paisley Gil St
Cardross,,Glasgow Group
Carfin,,Edinburgh Group,Motherwell Group
Cark & Cartmel,,Carlisle,Lancaster Group
CARLISLE,Routeing Point
Carlton,,Newark Group,Nottingham Group
Carluke,,Motherwell Group
Carmarthen,,Swansea Group
Carmyle,,Falkirk Group,Glasgow Group,Motherwell Group
CARNFORTH,Lancaster Group Routeing Point Member
Carnoustie,,Aberdeen,Dundee
Carntyne,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Carpenders Park,,Watford Junction,Willesden Jn
Carrbridge,,Inverness,Perth
Carshalton,,Mitcham Junction,Sutton London
Carshalton Beech,,Croydon Group,Sutton London
CARSTAIRS,Routeing Point
Cartsdyke,,Paisley Gil St
Castle Bar Park,,Clapham Junction,Greenford Und,Hayes & Harlngtn Gp,London Group
CASTLE CARY,Routeing Point
CASTLEFORD,Pontefract Group Routeing Point Member
Castleton Manchr,,Blackburn,Halifax Group,Manchester Group
Castleton Moor,,Middlesbrough Group
Caterham,,Croydon Group,Redhill Group
Catford,,Bromley South Group,Lewisham,Peckham Rye Group
Catford Bridge,,Beckenham Jn,Lewisham,New Cross
Cathays,,Cardiff Central,Pontypridd
Cathcart,,Glasgow Group,Newton Lanark
Cattal,,Leeds Group,York
Causeland,,Plymouth Group
Cefn Y Bedd,,Shotton,Wrexham Group
Chadwell Heath,,Romford Group,Stratford London Gp
Chafford Hundred,,Barking,Romford Group,Southend Group
Chalfont & L Und,,Banbury Group,Greenford Und,London Group,Oxford
Chalkwell,,Barking,Romford Group,Southend Group
Chandlers Ford,,Eastleigh,Salisbury,Southampton Group
Chapel En Le Frh,,Chinley,Guide Bridge,Hazel Grove,Manchester Group
Chapeltown Yorks,,Barnsley,Meadowhall
Chapleton Devon,,Exeter Group
Chappel & W Coln,,Marks Tey
Charing (Kent),,Ashford Intl,Maidstone Group
Charing X Glasgw,,Glasgow Group
Charlbury,,Oxford,Worcester Group
CHARLTON,Routeing Point
Chartham,,Ashford Intl,Dover Priory,Faversham,Ramsgate Group
Chassen Road,,Manchester Group,Warrington Group
Chatelherault,,Motherwell Group,Newton Lanark
CHATHAM,Chatham Group Routeing Point Member
Chathill,,Edinburgh Group,Newcastle
Cheadle Hulme,,Crewe,Stockport,Stoke On Trent,Wilmslow Group
Cheam,,Epsom,Sutton London
Cheddington,,Bletchley Group,Watford Junction
Chelford Ches,,Crewe,Wilmslow Group
Chelmsford Essex,,Shenfield,Witham
Chelsfield,,Bromley South Group,Sevenoaks
CHELTENHAM SPA,Routeing Point
Chepstow,,Bristol Group,Gloucester,Newport (S.Wales)
Cherry Tree,,Blackburn,Bolton,Preston Lancs
Chertsey,,Ascot (Berks),Staines,Surbiton,Woking
Cheshunt,,Stansted Group,Tottenham Hale Group
Chessington N,,Epsom,Kingston,Surbiton,Wimbledon
Chessington S,,Epsom,Kingston,Surbiton,Wimbledon
CHESTER,Routeing Point
Chester Le St,,Darlington,Newcastle
Chester Road,,Birmingham Group,Lichfield T V
CHESTERFIELD,Routeing Point
Chestfield & S,,Faversham,Ramsgate Group
Chetnole,,Castle Cary,Weymouth Group
Chichester,,Ford Group,Havant
Chilham,,Ashford Intl,Dover Priory,Faversham,Ramsgate Group
Chilworth,,Dorking Group,Guildford
Chingford,,Walthamstow Group
CHINLEY,Routeing Point
CHIPPENHAM,Routeing Point
Chipstead,,Croydon Group,Redhill Group
Chirk,,Shrewsbury,Wrexham Group
Chislehurst,,Bromley South Group,Grove Park
Chiswick,,Barnes,Hounslow
Cholsey,,Didcot Parkway,Reading Group
Chorley,,Blackburn,Bolton,Preston Lancs
Chorleywood Und,,Banbury Group,Greenford Und,London Group,Oxford
Christchurch,,Southampton Group,Weymouth Group
Christs Hospital,,Ford Group,Horsham
Church & Oswald,,Blackburn,Halifax Group,Manchester Group
Church Fenton,,Leeds Group,Pontefract Group,Selby,York
Church Stretton,,Craven Arms,Shrewsbury
Cilmeri,,Craven Arms,Swansea Group
CITY THAMESLINK,London Group Routeing Point Member
Clacton,,Colchester
Clandon,,Dorking Group,Epsom,Guildford,Surbiton
Clapham High St,,Clapham Junction,Denmark Hill,London Group
CLAPHAM JUNCTION,Routeing Point
Clapham Yorks,,Hellifield Group,Lancaster Group
Clapton,,Hackney Group,Tottenham Hale Group,Walthamstow Group
Clarbeston Road,,Swansea Group
Clarkston,,Glasgow Group,Kilmarnock
Claverdon,,Stratford U Group,Tyseley,Warwick Group
Claygate,,Dorking Group,Epsom,Guildford,Surbiton
Cleethorpes,,Barnetby
Cleland,,Edinburgh Group,Motherwell Group
Clifton Down,,Bristol Group
Clifton Manchr,,Bolton,Manchester Group
Clitheroe,,Blackburn,Hellifield Group
Clock House,,Beckenham Jn,Lewisham,New Cross
Clunderwen,,Swansea Group
Clydebank,,Glasgow Group
Coatbridge Ctl,,Falkirk Group,Glasgow Group,Motherwell Group
Coatbridge Sside,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Coatdyke,,Edinburgh Group,Falkirk Group,Glasgow Group,Inverkeithing Group
Cobham & Stoke D,,Dorking Group,Epsom,Guildford,Surbiton
Codsall,,Shrewsbury,Wolverhampton
Cogan,,Bridgend,Cardiff Central
COLCHESTER,Routeing Point
Colchester Town,,Colchester
Coleshill Parkway,,Birmingham Group,Nuneaton,Tamworth
Collingham,,Lincoln,Newark Group
Collington,,Hastings Group,Lewes
Colne,,Blackburn,Halifax Group,Manchester Group
Colwall,,Hereford,Worcester Group
Colwyn Bay,,Shotton
Combe (Oxon),,Oxford,Worcester Group
Commondale,,Middlesbrough Group
Congleton,,Crewe,Stockport,Stoke On Trent,Wilmslow Group
Conisbrough,,Doncaster,Swinton  S Yorks
Connel Ferry,,Glasgow Group
Cononley,,Bradford Group,Hellifield Group,Leeds Group
Conway Park,,Liverpool Group,Shotton
Conwy,,Shotton
Cooden Beach,,Hastings Group,Lewes
Cookham,,Reading Group,Slough
Cooksbridge,,Brighton Group,Lewes,Three Bridges
Coombe Cornwall,,Plymouth Group
Copplestone,,Exeter Group
Corbridge,,Carlisle,Newcastle
Corby,,Kettering,Oakham
Corkerhill,,Glasgow Group
Corkickle,,Carlisle,Lancaster Group
Corpach,,Glasgow Group
Corrour,,Glasgow Group
Coryton,,Cardiff Central
Coseley,,Smethwick Group,Wolverhampton
Cosford,,Shrewsbury,Wolverhampton
COSHAM,Portsmouth Group Routeing Point Member
Cottingham,,Hull,Scarborough Group
Cottingley,,Huddersfield Group,Leeds Group
Coulsdon South,,Croydon Group,Redhill Group
COVENTRY,Routeing Point
Cowden (Kent),,Croydon Group
Cowdenbeath,,Inverkeithing Group,Kirkcaldy Group
Cradley Heath,,Smethwick Group,Worcester Group
Craigendoran,,Glasgow Group
Cramlington,,Edinburgh Group,Newcastle
CRAVEN ARMS,Routeing Point
Crawley,,Horsham,Three Bridges
Crayford,,Dartford,Hither Green,London Group,Slade Green
Crediton,,Exeter Group
Cressing Essex,,Witham
Cressington,,Hunts Cross Group,Liverpool Group
Creswell,,Nottingham Group,Worksop
CREWE,Routeing Point
Crewkerne,,Exeter Group,Salisbury
Crews Hill,,Finsbury Park,Stevenage
Crianlarich,,Glasgow Group
Criccieth,,Machynlleth Group
Cricklewood,,Bedford,Watford Junction,West Hampstead Group
Croftfoot,,Glasgow Group,Newton Lanark
Crofton Park,,Bromley South Group,Lewisham,Peckham Rye Group
Cromer,,Norwich
Cromford,,Derby Group
Crookston,,Glasgow Group
CROSS GATES,Leeds Group Routeing Point Member
Crossflatts,,Bradford Group,Hellifield Group,Leeds Group
Crosshill,,Glasgow Group,Newton Lanark
Crosskeys,,Cardiff Central
Crossmyloof,,Glasgow Group,Kilmarnock
Croston,,Liverpool Group,Preston Lancs,Wigan Group
Crouch Hill,,Highbury & I Und,Tottenham Hale Group,West Hampstead Group
Crowborough,,Croydon Group
Crowhurst,,Hastings Group,Tonbridge
Crowle,,Barnetby,Doncaster,Goole
Crowthorne,,Farnborough Group,Wokingham
